HIPPS Code,Definition
1AFNT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1AFNU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1AFNV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1AFNW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1AFNX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1AFPS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1AFPT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1AFPU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1AFPV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1AFPW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1AFPX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1AGKS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1AGKT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1AGKU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1AGKV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1AGKW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1AGKX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1AGLS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1AGLT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1AGLU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1AGLV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 4, supplies provided"
1AGLW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 5, supplies provided"
1AGLX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 6, supplies provided"
1AGMS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1AGMT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1AGMU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1AGMV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1AGMW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1AGMX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1AGNS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1AGNT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1AGNU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1AGNV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1AGNW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1AGNX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1AGPS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1AGPT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1AGPU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1AGPV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1AGPW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1AGPX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1AHKS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1AHKT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1AHKU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1AHKV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1AHKW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1AHKX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1AHLS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1AHLT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1AHLU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1AHLV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 4, supplies provided"
1AHLW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 5, supplies provided"
1AHLX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 6, supplies provided"
1AHMS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1AHMT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1AHMU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1AHMV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1AHMW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1AHMX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1AHNS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1AHNT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1AHNU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1AHNV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1AHNW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1AHNX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1AHPS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1AHPT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1AHPU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1AHPV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1AHPW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1AHPX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1BFKS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1BFKT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1BFKU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1BFKV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1BFKW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1BFKX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1BFLS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1BFLT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1BFLU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1BFLV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 4, supplies provided"
1BFLW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 5, supplies provided"
1BFLX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 6, supplies provided"
1BFMS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1BFMT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1BFMU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1BFMV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1BFMW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1BFMX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1BFNS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1BFNT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1BFNU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1BFNV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1BFNW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1BFNX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1BFPS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1BFPT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1BFPU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1BFPV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1BFPW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1BFPX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1BGKS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1BGKT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1BGKU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1BGKV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1BGKW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1BGKX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1BGLS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1BGLT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1BGLU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1BGLV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 4, supplies provided"
1BGLW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 5, supplies provided"
1BGLX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 6, supplies provided"
1BGMS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1BGMT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1BGMU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1BGMV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1BGMW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1BGMX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1BGNS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1BGNT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1BGNU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1BGNV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1BGNW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1BGNX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1BGPS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1BGPT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1BGPU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1BGPV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1BGPW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1BGPX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1BHKS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1BHKT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1BHKU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1BHKV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1BHKW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1BHKX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1BHLS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1BHLT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1BHLU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1BHLV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 4, supplies provided"
1BHLW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 5, supplies provided"
1BHLX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 6, supplies provided"
1BHMS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1BHMT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1BHMU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1BHMV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1BHMW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1BHMX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1BHNS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1BHNT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1BHNU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1BHNV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1BHNW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1BHNX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1BHPS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1BHPT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1BHPU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1BHPV,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1BHPW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1BHPX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1CFKS,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1CFKT,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1CFKU,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1CFKV,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1CFKW,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1CFKX,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1CFLS,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1CFLT,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1CFLU,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1CFLV,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 4, supplies provided"
