HIPPS Code,Definition
1AFL2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 2, supplies not provided"
1AFL3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 3, supplies not provided"
1AFL4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 4, supplies not provided"
1AFL5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 5, supplies not provided"
1AFL6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 6, supplies not provided"
1AFMS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1AFMT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1AFMU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1AFMV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1AFMW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1AFMX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1AFM1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 1, supplies not provided"
1AFM2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 2, supplies not provided"
1AFM3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 3, supplies not provided"
1AFM4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 4, supplies not provided"
1AFM5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 5, supplies not provided"
1AFM6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3,Supply Severity Level 6, supplies not provided"
1AFNS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1AFNT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1AFNU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1AFNV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1AFNW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1AFNX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1AFN1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 1, supplies not provided"
1AFN2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 2, supplies not provided"
1AFN3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 3, supplies not provided"
1AFN4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 4, supplies not provided"
1AFN5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 5, supplies not provided"
1AFN6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4,Supply Severity Level 6, supplies not provided"
1AFPS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1AFPT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1AFPU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1AFPV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1AFPW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1AFPX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1AFP1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 1, supplies not provided"
1AFP2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 2, supplies not provided"
1AFP3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 3, supplies not provided"
1AFP4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 4, supplies not provided"
1AFP5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 5, supplies not provided"
1AFP6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5,Supply Severity Level 6, supplies not provided"
1AGKS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1AGKT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1AGKU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1AGKV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1AGKW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1AGKX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1AGK1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 1, supplies not provided"
1AGK2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 2, supplies not provided"
1AGK3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 3, supplies not provided"
1AGK4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 4, supplies not provided"
1AGK5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 5, supplies not provided"
1AGK6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1,Supply Severity Level 6, supplies not provided"
1AGLS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1AGLT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1AGLU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1AGLV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 4, supplies provided"
1AGLW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 5, supplies provided"
1AGLX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 6, supplies provided"
1AGL1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 1, supplies not provided"
1AGL2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 2, supplies not provided"
1AGL3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 3, supplies not provided"
1AGL4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 4, supplies not provided"
1AGL5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 5, supplies not provided"
1AGL6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,Supply Severity Level 6, supplies not provided"
1AGMS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1AGMT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1AGMU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1AGMV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1AGMW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1AGMX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1AGM1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 1, supplies not provided"
1AGM2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 2, supplies not provided"
1AGM3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 3, supplies not provided"
1AGM4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 4, supplies not provided"
1AGM5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 5, supplies not provided"
1AGM6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3,Supply Severity Level 6, supplies not provided"
1AGNS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1AGNT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1AGNU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1AGNV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1AGNW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1AGNX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1AGN1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 1, supplies not provided"
1AGN2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 2, supplies not provided"
1AGN3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 3, supplies not provided"
1AGN4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 4, supplies not provided"
1AGN5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 5, supplies not provided"
1AGN6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4,Supply Severity Level 6, supplies not provided"
1AGPS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1AGPT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1AGPU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1AGPV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1AGPW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1AGPX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1AGP1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 1, supplies not provided"
1AGP2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 2, supplies not provided"
1AGP3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 3, supplies not provided"
1AGP4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 4, supplies not provided"
1AGP5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 5, supplies not provided"
1AGP6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5,Supply Severity Level 6, supplies not provided"
1AHKS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1AHKT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1AHKU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1AHKV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1AHKW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1AHKX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1AHK1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 1, supplies not provided"
1AHK2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 2, supplies not provided"
1AHK3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 3, supplies not provided"
1AHK4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 4, supplies not provided"
1AHK5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 5, supplies not provided"
1AHK6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1,Supply Severity Level 6, supplies not provided"
1AHLS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 1, supplies provided"
1AHLT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 2, supplies provided"
1AHLU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 3, supplies provided"
1AHLV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 4, supplies provided"
1AHLW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 5, supplies provided"
1AHLX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 6, supplies provided"
1AHL1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 1, supplies not provided"
1AHL2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 2, supplies not provided"
1AHL3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 3, supplies not provided"
1AHL4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 4, supplies not provided"
1AHL5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 5, supplies not provided"
1AHL6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2,Supply Severity Level 6, supplies not provided"
1AHMS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 1, supplies provided"
1AHMT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 2, supplies provided"
1AHMU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 3, supplies provided"
1AHMV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 4, supplies provided"
1AHMW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 5, supplies provided"
1AHMX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 6, supplies provided"
1AHM1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 1, supplies not provided"
1AHM2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 2, supplies not provided"
1AHM3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 3, supplies not provided"
1AHM4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 4, supplies not provided"
1AHM5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 5, supplies not provided"
1AHM6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3,Supply Severity Level 6, supplies not provided"
1AHNS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 1, supplies provided"
1AHNT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 2, supplies provided"
1AHNU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 3, supplies provided"
1AHNV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 4, supplies provided"
1AHNW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 5, supplies provided"
1AHNX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 6, supplies provided"
1AHN1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 1, supplies not provided"
1AHN2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 2, supplies not provided"
1AHN3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 3, supplies not provided"
1AHN4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 4, supplies not provided"
1AHN5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 5, supplies not provided"
1AHN6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4,Supply Severity Level 6, supplies not provided"
1AHPS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 1, supplies provided"
1AHPT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 2, supplies provided"
1AHPU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 3, supplies provided"
1AHPV ,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 4, supplies provided"
1AHPW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 5, supplies provided"
1AHPX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 6, supplies provided"
1AHP1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 1, supplies not provided"
1AHP2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 2, supplies not provided"
1AHP3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 3, supplies not provided"
1AHP4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 4, supplies not provided"
1AHP5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 5, supplies not provided"
1AHP6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5,Supply Severity Level 6, supplies not provided"
1BFKS,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 1, supplies provided"
1BFKT,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 2, supplies provided"
1BFKU,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 3, supplies provided"
1BFKV ,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 4, supplies provided"
1BFKW,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 5, supplies provided"
1BFKX,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 6, supplies provided"
1BFK1,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 1, supplies not provided"
1BFK2,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 2, supplies not provided"
1BFK3,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 3, supplies not provided"
1BFK4,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 4, supplies not provided"
