itm_mstr_key,sys_cd,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,isc_active,isc_inactive,isc_01,isc_03,isc_04,isc_05,isc_06,isc_07,isc_08,isc_09,isc_XX
21,OASIS,1900,M0018_PHYSICIAN_UK,NPI_UNK_TXT,Attending physician NPI: Unknown,02,Asmt,Asmt,,Code,1900,282,282,282-282,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
22,OASIS,2000,M0020_PAT_ID,PTNT_ID,Patient ID number,02,Asmt,Asmt,,Text,2000,283,302,283-302,20,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
23,OASIS,2100,M0030_START_CARE_DT,STRT_CARE_DT,Start of care date,02,Asmt,Asmt,,Date,2100,303,310,303-310,8,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
24,OASIS,2200,M0032_ROC_DT,ROC_DT,Resumption of care date,02,Asmt,Asmt,,Date,2200,311,318,311-318,8,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
25,OASIS,2300,M0032_ROC_DT_NA,ROC_NA_TXT,No resumption of care date,02,Asmt,Asmt,,Code,2300,319,319,319-319,1,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
26,OASIS,2400,M0040_PAT_FNAME,FIRST_NAME,Patient's first name,02,Asmt,Asmt,,Text,2400,320,331,320-331,12,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
27,OASIS,2500,M0040_PAT_MI,MDL_INITL_TXT,Patient's middle initial,02,Asmt,Asmt,,Text,2500,332,332,332-332,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
28,OASIS,2600,M0040_PAT_LNAME,LAST_NAME,Patient's last name,02,Asmt,Asmt,,Text,2600,333,350,333-350,18,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
29,OASIS,2700,M0040_PAT_SUFFIX,SFX_TXT,Patient's suffix,02,Asmt,Asmt,,Text,2700,351,353,351-353,3,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
30,OASIS,2800,M0050_PAT_ST,PTNT_STATE_CD,Patient state of residence,02,Asmt,Asmt,,Code,2800,354,355,354-355,2,"[V2.10.0]-Added the following to the value list: AS, GU, and MP.
[V2.10.1]-Added the following to the value list: FM, MH, PW.","01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
31,OASIS,2900,M0060_PAT_ZIP,PTNT_ZIP_CD,Patient zip code,02,Asmt,Asmt,,Text,2900,356,366,356-366,11,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
32,OASIS,3000,M0063_MEDICARE_NUM,MDCR_NUM,"Medicare number, including suffix",02,Asmt,Asmt,,Text,3000,367,378,367-378,12,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
33,OASIS,3100,M0063_MEDICARE_NA,MDCR_NA_TXT,No Medicare number,02,Asmt,Asmt,,Code,3100,379,379,379-379,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
34,OASIS,3200,M0064_SSN,SSN_NUM,Patient's Social Security number,02,Asmt,Asmt,,Text,3200,380,388,380-388,9,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
35,OASIS,3300,M0064_SSN_UK,SSN_UNK_TXT,No Social Security number,02,Asmt,Asmt,,Code,3300,389,389,389-389,1,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
36,OASIS,3400,M0065_MEDICAID_NUM,MDCD_NUM,Medicaid number,02,Asmt,Asmt,,Text,3400,390,403,390-403,14,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
37,OASIS,3500,M0065_MEDICAID_NA,MDCD_NA_TXT,No Medicaid number,02,Asmt,Asmt,,Code,3500,404,404,404-404,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
38,OASIS,3600,M0066_PAT_BIRTH_DT,BIRTH_DT,Date of birth,02,Asmt,Asmt,,Date,3600,405,412,405-412,8,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
39,OASIS,3700,M0069_PAT_GENDER,GNDR_CD,Gender,02,Asmt,Asmt,,Code,3700,413,413,413-413,1,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
40,OASIS,3800,M0140_ETHNIC_AI_AN,AMRCN_INDN_AK_NTV_CD,Ethnicity: American Indian or Alaska Native,02,Asmt,Asmt,,Code,3800,414,414,414-414,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
41,OASIS,3900,M0140_ETHNIC_ASIAN,ASN_CD,Ethnicity: Asian,02,Asmt,Asmt,,Code,3900,415,415,415-415,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
42,OASIS,4000,M0140_ETHNIC_BLACK,AFRCN_AMRCN_CD,Ethnicity: Black or African American,02,Asmt,Asmt,,Code,4000,416,416,416-416,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
43,OASIS,4100,M0140_ETHNIC_HISP,HSPNC_CD,Ethnicity: Hispanic or Latino,02,Asmt,Asmt,,Code,4100,417,417,417-417,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
44,OASIS,4200,M0140_ETHNIC_NH_PI,NTV_HI_PCFC_ISLNDR_CD,Ethnicity: Native Hawaiian/Pacific Islander,02,Asmt,Asmt,,Code,4200,418,418,418-418,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
45,OASIS,4300,M0140_ETHNIC_WHITE,WHT_CD,Ethnicity: White,02,Asmt,Asmt,,Code,4300,419,419,419-419,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
46,OASIS,4400,M0150_CPAY_NONE,NO_PMT_CD,Payment sources: no charge for current services,02,Asmt,Asmt,,Code,4400,420,420,420-420,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
47,OASIS,4500,M0150_CPAY_MCARE_FFS,MDCR_FFS_PMT_CD,Payment sources: Medicare fee-for-service,02,Asmt,Asmt,,Code,4500,421,421,421-421,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
48,OASIS,4600,M0150_CPAY_MCARE_HMO,MDCR_HMO_PMT_CD,Payment sources: Medicare HMO/managed care,02,Asmt,Asmt,,Code,4600,422,422,422-422,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
49,OASIS,4700,M0150_CPAY_MCAID_FFS,MDCD_FFS_PMT_CD,Payment sources: Medicaid fee-for-service,02,Asmt,Asmt,,Code,4700,423,423,423-423,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
50,OASIS,4800,M0150_CPAY_MCAID_HMO,MDCD_HMO_PMT_CD,Payment sources: Medicaid HMO/managed care,02,Asmt,Asmt,,Code,4800,424,424,424-424,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
51,OASIS,4900,M0150_CPAY_WRKCOMP,WC_PMT_CD,Payment sources: worker's compensation,02,Asmt,Asmt,,Code,4900,425,425,425-425,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
52,OASIS,5000,M0150_CPAY_TITLEPGMS,TITLE_PGM_PMT_CD,Payment sources: title programs,02,Asmt,Asmt,,Code,5000,426,426,426-426,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
53,OASIS,5100,M0150_CPAY_OTH_GOVT,OTHR_GOVT_PMT_CD,Payment sources: other government,02,Asmt,Asmt,,Code,5100,427,427,427-427,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
54,OASIS,5200,M0150_CPAY_PRIV_INS,PRVT_INSRNC_PMT_CD,Payment sources: private insurance,02,Asmt,Asmt,,Code,5200,428,428,428-428,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
55,OASIS,5300,M0150_CPAY_PRIV_HMO,PRVT_HMO_PMT_CD,Payment sources: private HMO/managed care,02,Asmt,Asmt,,Code,5300,429,429,429-429,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
56,OASIS,5400,M0150_CPAY_SELFPAY,SELF_PAY_PMT_CD,Payment sources: self-pay,02,Asmt,Asmt,,Code,5400,430,430,430-430,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
57,OASIS,5500,M0150_CPAY_OTHER,OTHR_PMT_CD,Payment sources: other,02,Asmt,Asmt,,Code,5500,431,431,431-431,1,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
58,OASIS,5600,M0150_CPAY_UK,UNK_PMT_CD,Payment sources: unknown,02,Asmt,Asmt,,Code,5600,432,432,432-432,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
59,OASIS,5700,M0080_ASSESSOR_DISCIPLINE,ASSR_DSCPLN_CD,Discipline of person completing assessment,02,Asmt,Asmt,,Code,5700,433,434,433-434,2,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
60,OASIS,5800,M0090_INFO_COMPLETED_DT,AMST_CMPLT_DT,Date assessment completed,02,Asmt,Asmt,,Date,5800,435,442,435-442,8,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
61,OASIS,5900,M0100_ASSMT_REASON,RSN_FOR_ASMT_CD,Reason for assessment,02,Asmt,Asmt,,Code,5900,443,444,443-444,2,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
62,OASIS,6000,M0102_PHYSN_ORDRD_SOCROC_DT,PHYSN_START_CARE_DT,Physician ordered SOC/ROC date,02,Asmt,Asmt,,Date,6000,445,452,445-452,8,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
63,OASIS,6100,M0102_PHYSN_ORDRD_SOCROC_DT_NA,PHYSN_START_CARE_NA_TXT,Physician ordered SOC/ROC date - NA,02,Asmt,Asmt,,Code,6100,453,453,453-453,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
64,OASIS,6200,M0104_PHYSN_RFRL_DT,RFRL_DT,Physician date of referral,02,Asmt,Asmt,,Date,6200,454,461,454-461,8,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
65,OASIS,6300,M0110_EPISODE_TIMING,EPSD_TIMING_CD,Episode timing,02,Asmt,Asmt,,Code,6300,462,463,462-463,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
66,OASIS,6400,M1000_DC_LTC_14_DA,DSCHRG_NF_CD,Past 14 days: disch from LTC NH,02,Asmt,Asmt,,Code,6400,464,464,464-464,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
67,OASIS,6500,M1000_DC_SNF_14_DA,DSCHRG_SNF_CD,Past 14 days: disch from skilled nursing facility,02,Asmt,Asmt,,Code,6500,465,465,465-465,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
68,OASIS,6600,M1000_DC_IPPS_14_DA,DSCHRG_IPPS_CD,Past 14 days: disch from short stay acute hospital,02,Asmt,Asmt,,Code,6600,466,466,466-466,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
69,OASIS,6700,M1000_DC_LTCH_14_DA,DSCHRG_LTCH_CD,Past 14 days: disch from long term care hospital,02,Asmt,Asmt,,Code,6700,467,467,467-467,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
70,OASIS,6800,M1000_DC_IRF_14_DA,DSCHRG_IRF_CD,Past 14 days: disch from inpatient rehab facility,02,Asmt,Asmt,,Code,6800,468,468,468-468,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
71,OASIS,6900,M1000_DC_PSYCH_14_DA,DSCHRG_PSYCH_CD,Past 14 days: disch from psych hospital or unit,02,Asmt,Asmt,,Code,6900,469,469,469-469,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
72,OASIS,7000,M1000_DC_OTH_14_DA,DSCHRG_OTHR_CD,Past 14 days: disch from other,02,Asmt,Asmt,,Code,7000,470,470,470-470,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
73,OASIS,7100,M1000_DC_NONE_14_DA,NO_DSCHRG_CD,Past 14 days: not disch from inpatient facility,02,Asmt,Asmt,,Code,7100,471,471,471-471,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
74,OASIS,7200,M1005_INP_DISCHARGE_DT,IP_DSCHRG_DT,Most recent inpatient discharge date,02,Asmt,Asmt,,Date,7200,472,479,472-479,8,"[V2.10.1]-Fixed typo in label for item value [YYYYMMDD] (""most"" was misspelled).","01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
75,OASIS,7300,M1005_INP_DSCHG_UNKNOWN,IP_DSCHRG_UNK_TXT,Inpatient discharge date unknown,02,Asmt,Asmt,,Code,7300,480,480,480-480,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
76,OASIS,7400,M1010_14_DAY_INP1_ICD,IP_DGNS_1_CD,Inpatient stay within last 14 days: ICD code 1,02,Asmt,Asmt,,ICD,7400,481,487,481-487,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
77,OASIS,7500,M1010_14_DAY_INP2_ICD,IP_DGNS_2_CD,Inpatient stay within last 14 days: ICD code 2,02,Asmt,Asmt,,ICD,7500,488,494,488-494,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
78,OASIS,7600,M1010_14_DAY_INP3_ICD,IP_DGNS_3_CD,Inpatient stay within last 14 days: ICD code 3,02,Asmt,Asmt,,ICD,7600,495,501,495-501,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
79,OASIS,7700,M1010_14_DAY_INP4_ICD,IP_DGNS_4_CD,Inpatient stay within last 14 days: ICD code 4,02,Asmt,Asmt,,ICD,7700,502,508,502-508,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
80,OASIS,7800,M1010_14_DAY_INP5_ICD,IP_DGNS_5_CD,Inpatient stay within last 14 days: ICD code 5,02,Asmt,Asmt,,ICD,7800,509,515,509-515,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
81,OASIS,7900,M1010_14_DAY_INP6_ICD,IP_DGNS_6_CD,Inpatient stay within last 14 days: ICD code 6,02,Asmt,Asmt,,ICD,7900,516,522,516-522,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
82,OASIS,8000,M1012_INP_PRCDR1_ICD,IP_PRCDR_1_CD,Inpatient ICD procedure1 code,02,Asmt,Asmt,,ICD,8000,523,529,523-529,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
83,OASIS,8100,M1012_INP_PRCDR2_ICD,IP_PRCDR_2_CD,Inpatient ICD procedure2 code,02,Asmt,Asmt,,ICD,8100,530,536,530-536,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
84,OASIS,8200,M1012_INP_PRCDR3_ICD,IP_PRCDR_3_CD,Inpatient ICD procedure3 code,02,Asmt,Asmt,,ICD,8200,537,543,537-543,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
85,OASIS,8300,M1012_INP_PRCDR4_ICD,IP_PRCDR_4_CD,Inpatient ICD procedure4 code,02,Asmt,Asmt,,ICD,8300,544,550,544-550,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
86,OASIS,8400,M1012_INP_NA_ICD,IP_PRCDR_NA_CD,Inpatient ICD procedure code - NA,02,Asmt,Asmt,,Code,8400,551,551,551-551,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
87,OASIS,8600,M1012_INP_UK_ICD,IP_PRCDR_UNK_CD,Inpatient ICD procedure code - UK,02,Asmt,Asmt,,Code,8600,552,552,552-552,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
88,OASIS,8700,M1016_CHGREG_ICD1,MDCL_DGNS_1_CD,Regimen change in past 14 days: ICD code 1,02,Asmt,Asmt,,ICD,8700,553,559,553-559,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
89,OASIS,8800,M1016_CHGREG_ICD2,MDCL_DGNS_2_CD,Regimen change in past 14 days: ICD code 2,02,Asmt,Asmt,,ICD,8800,560,566,560-566,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
90,OASIS,8900,M1016_CHGREG_ICD3,MDCL_DGNS_3_CD,Regimen change in past 14 days: ICD code 3,02,Asmt,Asmt,,ICD,8900,567,573,567-573,7,[V2.10.1]-Fixed typo in label for item value [ICD-9].,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
91,OASIS,9000,M1016_CHGREG_ICD4,MDCL_DGNS_4_CD,Regimen change in past 14 days: ICD code 4,02,Asmt,Asmt,,ICD,9000,574,580,574-580,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
92,OASIS,9100,M1016_CHGREG_ICD5,MDCL_DGNS_5_CD,Regimen change in past 14 days: ICD code 5,02,Asmt,Asmt,,ICD,9100,581,587,581-587,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
93,OASIS,9200,M1016_CHGREG_ICD6,MDCL_DGNS_6_CD,Regimen change in past 14 days: ICD code 6,02,Asmt,Asmt,,ICD,9200,588,594,588-594,7,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
94,OASIS,9300,M1016_CHGREG_ICD_NA,MDCL_DGNS_NA_CD,Regimen change in past 14 days: not applicable,02,Asmt,Asmt,,Code,9300,595,595,595-595,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
95,OASIS,9400,M1018_PRIOR_UR_INCON,PRIOR_URNRY_INCNTNC_CD,Prior condition: urinary incontinence,02,Asmt,Asmt,,Code,9400,596,596,596-596,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
96,OASIS,9500,M1018_PRIOR_CATH,PRIOR_INDWLG_CTHTR_CD,Prior condition: indwelling/suprapubic catheter,02,Asmt,Asmt,,Code,9500,597,597,597-597,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
97,OASIS,9600,M1018_PRIOR_INTRACT_PAIN,PRIOR_INTRK_PAIN_CD,Prior condition: intractable pain,02,Asmt,Asmt,,Code,9600,598,598,598-598,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
98,OASIS,9700,M1018_PRIOR_IMPR_DECSN,PRIOR_IMPRD_DCSN_MKG_CD,Prior condition: impaired decision-making,02,Asmt,Asmt,,Code,9700,599,599,599-599,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
99,OASIS,9800,M1018_PRIOR_DISRUPTIVE,PRIOR_DSRPTV_BHVR_CD,Prior condition: disruptive/inappropriate behav,02,Asmt,Asmt,,Code,9800,600,600,600-600,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
100,OASIS,9900,M1018_PRIOR_MEM_LOSS,PRIOR_MEMRY_LOSS_CD,"Prior condition: memory loss, supervision required",02,Asmt,Asmt,,Code,9900,601,601,601-601,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
101,OASIS,10000,M1018_PRIOR_NONE,PRIOR_COND_NOA_CD,Prior condition: none of the above,02,Asmt,Asmt,,Code,10000,602,602,602-602,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
102,OASIS,10100,M1018_PRIOR_NOCHG_14D,PRIOR_COND_NA_CD,Prior condition: no inpt disch/no change regimen,02,Asmt,Asmt,,Code,10100,603,603,603-603,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
103,OASIS,10200,M1018_PRIOR_UNKNOWN,PRIOR_COND_UNK_CD,Prior condition: unknown,02,Asmt,Asmt,,Code,10200,604,604,604-604,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
104,OASIS,10300,M1020_PRIMARY_DIAG_ICD,PRMRY_DGNS_CD,Primary diagnosis ICD code,02,Asmt,Asmt,,ICD,10300,605,611,605-611,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
105,OASIS,10400,M1020_PRIMARY_DIAG_SEVERITY,PRMRY_SVRTY_RATG_CD,Primary diagnosis severity rating,02,Asmt,Asmt,,Code,10400,612,613,612-613,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
106,OASIS,10500,M1022_OTH_DIAG1_ICD,OTHR_DGNS_1_CD,Other diagnosis 1: ICD code,02,Asmt,Asmt,,ICD,10500,614,620,614-620,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
107,OASIS,10600,M1022_OTH_DIAG1_SEVERITY,OTHR_1_SVRTY_RATG_CD,Other diagnosis 1: severity rating,02,Asmt,Asmt,,Code,10600,621,622,621-622,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
108,OASIS,10700,M1022_OTH_DIAG2_ICD,OTHR_DGNS_2_CD,Other diagnosis 2: ICD code,02,Asmt,Asmt,,ICD,10700,623,629,623-629,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
109,OASIS,10800,M1022_OTH_DIAG2_SEVERITY,OTHR_2_SVRTY_RATG_CD,Other diagnosis 2: severity rating,02,Asmt,Asmt,,Code,10800,630,631,630-631,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
110,OASIS,10900,M1022_OTH_DIAG3_ICD,OTHR_DGNS_3_CD,Other diagnosis 3: ICD code,02,Asmt,Asmt,,ICD,10900,632,638,632-638,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
111,OASIS,11000,M1022_OTH_DIAG3_SEVERITY,OTHR_3_SVRTY_RATG_CD,Other diagnosis 3: severity rating,02,Asmt,Asmt,,Code,11000,639,640,639-640,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
112,OASIS,11100,M1022_OTH_DIAG4_ICD,OTHR_DGNS_4_CD,Other diagnosis 4: ICD code,02,Asmt,Asmt,,ICD,11100,641,647,641-647,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
113,OASIS,11200,M1022_OTH_DIAG4_SEVERITY,OTHR_4_SVRTY_RATG_CD,Other diagnosis 4: severity rating,02,Asmt,Asmt,,Code,11200,648,649,648-649,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
114,OASIS,11300,M1022_OTH_DIAG5_ICD,OTHR_DGNS_5_CD,Other diagnosis 5: ICD code,02,Asmt,Asmt,,ICD,11300,650,656,650-656,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
115,OASIS,11400,M1022_OTH_DIAG5_SEVERITY,OTHR_5_SVRTY_RATG_CD,Other diagnosis 5: severity rating,02,Asmt,Asmt,,Code,11400,657,658,657-658,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
