Description,Narrative
ADDITIONAL - FIRE SAFETY PRECAUTIONS FOR O2,"FIRE PRECAUTIONS
IF PATIENT HAS OXYGEN IN THE HOME:

""NO SMOKING"" SIGNS POSTED?    YES   NO
FUNCTIONING SMOKE DETECTOR?   YES    NO
INTACT ELECTRICAL CORDS NEAR OXYGEN?   YES     NO
ELECTRICAL MEDICAL EQUIPMENT AWAY FROM OXYGEN?   YES   NO
MEDICAL GAS CYLINDERS STORED ON THEIR SIDES IN WELL VENTILATED AREA?     N/A     YES     NO
SMOKING MATERIALS IN HOME (CIGARETTES, ETC)?     YES    NO
OPEN FLAMES (CANDLES. GAS HEATERS, FIREPLACE, ETC)?    YES    NO
ARE PETROLEUM BASED PRODUCTS USED NEAR THE FLOW OF O2?  YES    NO
SUPPORTING DOCUMENTATION:

IF ANY RESPONSES, OTHER THAN YES, EDUCATION WAS PROVIDED TO:  PATIENT    CAREGIVER
"
ADDITIONAL - FUNCTIONAL VISION SCREENING QUESTIONNAIRE-FVSQ FOR FALLS,"Functional Vision Screening Questionnaire
This is a screening to identify older people with a vision problem. People who use glasses or contact lenses should answer the questions in terms of how they see when wearing their glasses or contact lenses. This does not include the use of low vision devices or magnifiers. Read the questions aloud if literacy is a concern:

1. Do you ever feel that problems with your vision make it difficult for you to do the things you would like to do?  1. Yes 0. No

2. Can you see the large print headlines in the newspaper? 0. Yes 1. No

3. Can you see the regular print in newspapers, magazines or books?  0. Yes 1. No

4. Can you see the numbers and names in the telephone book?  0. Yes 1. No

5. When you are walking in the street, can you see the “WALK” sign and street names? 0. Yes 1. No

6. When crossing the street, do cars seem to appear very suddenly? 1. Yes 0. No

7. Does trouble with your vision make it difficult for you to watch TV, play cards, do sewing, or any similar type of activity? 1. Yes 0. No

8. Does trouble with your vision make it difficult for you to see labels on medicine bottles?  1. Yes 0. No

9. Does trouble with your vision make it difficult for you to read prices when you shop? 1. Yes 0. No

10. Does trouble with your vision make it difficult for you to read your own mail?  1. Yes 0. No

11. Does trouble with your vision make it difficult for you to read your own handwriting? 1. Yes 0. No

12. Can you recognize the faces of family or friends when you are across an average size room?  0. Yes 1. No

13. Do you have any particular difficulty seeing in dim light?  1. Yes 0. No

14. Do you tend to sit very close to the television?  1. Yes 0. No

15. Has a doctor ever told you that nothing more can be done for your vision?  1. Yes 0. No

Scores are indicated next to the answer for each item. A total score of nine (9) or more indicates the need for a vision examination conducted by a low vision optometrist or ophthalmologist.


TOTAL ___________
"
ADDITIONAL - HOME HAZARD INTERVENTIONS,"INTERVENTIONS/RECOMMENDATIONS

Move the furniture so your path is clear.

Remove throw rugs or use double-sided tape or a non-slip backing so the rugs won’t slip.

Pick up any objects that are on the floor.

Coil or tape cords and wires next to the wall so you can’t trip over them. If needed, have an electrician put in another outlet.

Use non-slip or non-skid floor wax or none at all. If you have hardwood floors, consider carpet.

Replace burned-out or dim bulbs with the highest wattage bulbs allowed for each fixture in all rooms and stairways.

Replace non-working flashlights. Put several flashlights throughout your house and check the batteries regularly.

Keep a phone on a low table within reach of the floor.

Pick up any items that are on the stairs.

Fix loose, broken, or uneven steps.

Have an electrician put in an overhead light at the top and bottom of the stairs.

Make sure the carpet is firmly attached to every step, or remove the carpet and attach non-slip rubber treads to the stairs.

Fix loose handrails or put up new Ones, making sure handrails are on both sides of the stairs and are as long as the stairs.

Move items so that the things you use most often are on shelves at about waist level.

• If you must use a step stool, get one with a bar to hold on to. Never use a chair as a step stool.

Put a non-slip rubber mat or self-stick strips on the floor of the tub or shower.

Install grab bars inside the tub and next to the toilet.

Add a night light to aide seeing where you’re walking. (Some night lights go on by themselves after dark.)
"
ADDITIONAL - PROGRESS TOWARDS GOALS,"GOALS MET                                     PROGRESS TOWARD GOALS                                                              OTHER/DESCRIBE

SN      YES       NO                                       IMPROVED    SAME    REGRESSED

PT:      YES       NO                                       IMPROVED    SAME    REGRESSED

HHA   YES       NO                                       IMPROVED    SAME    REGRESSED                                   

OT      YES       NO                                       IMPROVED    SAME    REGRESSED

ST:      YES       NO                                       IMPROVED    SAME    REGRESSED

MSW  YES       NO                                       IMPROVED    SAME    REGRESSED
"
ADDITIONAL SCREENING -  COGNITION DECLINE FOR FALL PREVENTION,"The connections between cognition and patient falls have been postulated to be related to some of the following items:

   * decline of motor function is part of the dementia process which increases with duration of the illness
   * loss of higher-level cognitive functions, particularly executive function contributing to the increased fall risk
   * dual-task performances weaken postural control even in the early stages of Alzheimer’s disease
   * gait speed is impacted by either accelerating or deceleration
   * stride length variability, extra pyramidal symptoms (e.g. tremor, rigidity) and contractures affect mobility in a negative manner in advanced stages of cognitive impairment

Conducted the following screening for Cognition Decline and Fall Prevention:

1. Instructed the patient to listen carefully and repeat the following
APPLE 
WATCH 
PENNY
MANZANA
RELOJ 
PESETA
2. Administer the Clock Drawing Test [CDT] (e.g. draw hands of the clock to represent the time “forty five minutes past ten o’clock” on an empty circle)
3. Ask the patient to repeat the three words given previously
_________ _________ __________
Mini cog Scoring
Number of correct items recalled _______ [if 3 then negative screen. STOP]
If answer is 1-2
Is CDT Abnormal? No Yes
If No, then negative screen
If Yes, then screen positive for cognitive impairment
If screen is positive based on Mini-cog, follow up should be done with the patient’s primary care provider for additional workup and diagnosis as appropriate.
Actions which can be taken once patients have been found to be at risk due to cognitive decline:
• additional sensitivity and vigilance to gait patterns and fall risk patterns
• engage in activities which improve cognitive function with patient and include family members as a means of instructing them
• provide instruction on behavioral management to decrease chances of falls from emotional outbursts or behavioral problems
"
ADDITIONAL SCREENING - MEDICATION CLASSES WITH RISK S FOR FALLS,"The table below is an excellent summary of the common medications which can increase the risk of falls and should be examined thoroughly when completing the medication reconciliation process.

Anti-arrhythmic drugs  (type IA†) 

Anti-convulsants †

Anti-depressants † ‡
  
Anti-histamines § 

Anti-hypertensives 

Anti-Parkinson drugs

Anti-psychotics †

Benzodiazepines †

Corticosteroids 

Digoxin †

Histamine H2-receptor blockers

Hypoglycemics
 
Muscle relaxants

Narcotic analgesics   

Nitrates

Non-steroidal anti-inflammatory drugs 


† Published research suggests an association between the use of this drug or drug class and an increased risk of falling.

‡ Includes selective serotonin re-uptake inhibitors (SSRIs).

§ Especially sedating antihistamines, such as diphenhydramine HCl  (e.g., Benadryl®, Pfizer) and hydroxyzine (e.g.,Atarax®, Pfizer).
  
* Not all drugs and drug classes listed have been associated with falls in published research. Therefore, this list should be used in the context of a comprehensive clinical assessment for each individual patient.

ADDITIONAL RISK ASSESSMENTS
Elderly patients (= 65 years of age) have altered pharmacokinetics & may be more “sensitive” to medications.
Renal function impairment may result in medication accumulation & increased risk of adverse reactions.
Patients taking = 4 prescription drugs, regardless of pharmacologic classification, are at an increased risk for falls.
Anticoagulants/Antiplatelets may directly increase the risk of injury from falls due to an increased bleeding risk.
Patients with untreated osteoporosis, urinary incontinence, delirium, &/or pain may have an increased risk of injury from falls.
"
ADDITIONAL SCREENING- HOME HAZARDS TO PREVENT FALLS,"Assessments
When you walk through a room, do you have to walk around furniture or piles of paper?

Do you have throw rugs on the floor?

Are there papers, books, towels, shoes, magazines, boxes, blankets, or other objects on the floor?

Do you have to walk over or around wires or cords (like lamp, television, or extension cords)?

Do you have slick floors?

Do you have burned out bulbs or dim lighting in your home?

Do you have non-working or no flashlights in your home?

Can you reach your phone from the floor?

Are there papers, shoes, books, or other objects on the stairs?

Are some steps loose, broken, or uneven?

Is your stairway dark?

Is the carpet on the steps loose or torn?

Are the handrails loose or broken? Is there a handrail on only 1 side of the stairs?

Are the things you use most on high or low shelves?

Is your step stool unsteady?

Is the tub or shower floor slippery?

Do you need support or help when you get in or out of the tub or up from the toilet?

Is the path from your bed to the bathroom dark?
"
Alzheimer's Disease,"Assess nutritional / hydrational status. SN to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96. SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  SN to assess respiratory status for dyspnea, lung sounds,cough/sputum. SN to assess pain every visit.  SN to assess skin for skin breakdown and skin care.  SN to teach disease process of Alzheimer’s disease, to include pathophysiology, S/Sx, treatment and exacerbation. SN to assess knowledge of medication regimen and deficits and teach pt/cg use medications for disease process to include, purpose, action S/E and safety measures. SN to instruct on areas where knowledge deficit noted. SN to teach  Alzheimer’s disease management. SN to teach energy conservation and home safety measures. SN to assess pain every visit,instruct on pharmacological and non-pharmacological pain management. Report pain level >5 to MD.  Instruct on energy conservation, incontinent care and home safety measures.
"
Alzheimer's Disease Goals,"Neurological symptoms will subside without further complications and status will return to WNL for this patient within 60days.
Pt will remain functionally independent within limitations of pain for 60 days.
Pt V/S and weight will be within normal limits as established by MD within 60 days.
Pt/Cg will have adequate working knowledge of disease process, patho, S/Sx, TX, and exacerbation within 60 days.
Pt/Cg will have adequate working knowledge of Alzheimer’s management, home safety measures and energy conservation within 60 days.
Pt/Cg will be able to list 2 of 4  uses of medication within 60 days.
Pt/Cg will be able to list 1of 3 S/E of medication within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
Anemia,"SN to assess all body systems. V/S parameter  to report to MD, BP>160/90 or <90/60, HR >100 or <60, RESP>24 or <12, TEMP >100.5 or <96. Instruct pt/cg to weigh patient and  report weight gain or loss of 5lbs in 7days. SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina. SN to assess knowledge of  medication  regimen and deficits, teach pt/cg  ANEMIA medications, to include purpose, action S/E and safety measures. SN to instruct on new and changed medications and areas where knowledge deficit noted.  SN to teach disease process of ANEMIA, to include pathophysiology, S/SX, treatment and exacerbation. Instruct on Iron diet, and healthy eating tips (food choices) and all areas where knowledge deficit noted. SN to instruct on non-pharmacological management of ANEMIA. SN to assess pain every visit, Instruct on pharmacological and Non-pharmacological pain management. 
"
Anemia Goals,"Pt will achive a stable Vit. B12 level within normal limits within 60days.
Pt will have adequate working knowledge of disease process, patho, s/sx, Tx, and exacerbations within 60days.
Pt will be able to list 2 of 4 uses if Anemia medication within 60 days.
Pt will be able to list 1of 3 S/E of Anemia medication within 60days.
Pt will be able to state importance of iron diet and non-pharmacological management of ANEMIA within 60 days.
Pt will be able to list 3of 5 foods with low salt content within 60days.
Pt will be have adequate working knowledge of pain management, energy conservation and home safety measures within 60 days.
Rehab Potential: Good for goals stated above.
DC Plans: Patient will be discharged when goals are met or alternative care has been arranged. 
"
Angina,"SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Skilled Nurse to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to teach disease process of ANGINA, to include pathophysiology, S/Sx, treatment and exacerbation. SN to assess knowledge of medication regimen and deficits and teach pt/cg CARDIAC medications, to Include safety measures, purpose, action and S/E. SN to teach new or changed medications if any. SN to teach 2gm Na Diet, Low Fat Diet, and Low Cholesterol Diet. SN to teach O2 (Oxygen) use & safety measures.  SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures.  Instruct pt/cg to weigh patient and report weight gain or loss of 5lbs in 7 days."
Angina Goals,"Pt will achieve optimal level of cardiovascular status within 60 days.
Pt will achieve a stable blood pressure as evidenced by vital signs within normal limits within 60 days.
Pt will be able be able to list 2 of 4 uses of cardiac medications within 60 days.
Pt will be able to list 2 of 4 S/E of cardiac meds within 60 days.
Pt will have adequate working knowledge of  pharmacological & non-pharmacological management of ANGINA, O2 use & safety, home safety measures, Prescribed diet, and energy conservation within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged.
"
Arthritis,"Did you know that there are more than 100 types of arthritis? Common arthritis symptoms of inflammation, pain, and stiffness are usually caused by degenerative arthritis (osteoarthritis). Other types of arthritis include rheumatoid arthritis and gout. No matter which type of arthritis you have, you need an accurate diagnosis before your doctor can recommend a program for treatment. "
Arthropathy,"SN to assess pain every visit. Sn to assess all body systems. VS parameters to report to MD, BP > 160/90 or <90/60, HR >100 or <60, Resp > 24 or <12, Temp > 100.5 or <96. Sn to assess joints for stiffness, tenderness, mobility, pain, and ROM. Sn to assess cardiovascular and respiratory status for heart sounds, dyspnea, edema, lung sounds and peripheral circulation and instruct on areas of knowledge deficits. Sn to instruct on disease process of Arthropathy to include pathophysiology, s/sx, treatment and exacerbation. Instruct on pharmacological and non-pharmacological pain management, good positioning and body alignment. Sn to assess knowledge of medication regimen and deficit, teach pt/cg pain medications to include purpose, action , S/E and safety measures and instruct on new or changed medications. SN to report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Arthropathy Goals,"Pt will remain functionally independent within limitations of pain within 60days.
Pt will have adequate working knowledge of disease process, patho, s/sx, TX and exacerbation within 60 days.
Pt will be able to list 3 of  5  non-pharmacological ways of managing pain within 60 days. 
Pt will be able to list 2 of 3 S/E of pain medication within 60 days. 
Pt will be able to list 1 of 2 uses of pain medication within 60 days.
Rehab Potential: Good for goals stated above 
DC Plan: When goals are met or alternative care has been arranged.
"
Asthma,"SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Skilled Nurse to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to teach disease process of ASTHMA, to include pathophysiology, S/Sx, treatment and exacerbation.  SN to assess knowledge of medication regimen and deficits and teach pt/cg respiratory medications, to include safety measures, purpose, action and S/E and instruct on new or changed medications. SN to teach energy conservation and home safety measures.  SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Asthma Goals,"Pt will achieve a stable respiratory status as evidenced by clear lung sounds, decreased or absence of SOB, and  decrease in respiratory effort within 60 days.
Rales, rhonci and wheezing will clear in all affected lobes without further progression of respiratory distress.
Pt will have adequate working knowledge of disease process, patho, and exacerbation within 60 days.
Pt will be able to list 3 of 5 s/sx of ASTHMA, within 60 days.
Pt will be able to list 2 of 4  uses of medication within 60 days.
Pt’s will list 3 of 4 treatments of ASTHMA, within 60 days.
Pt will have adequate working knowledge of  pharmacological & non-pharmacological management of ASTHMA, and O2 use safety, energy conservation and home safety measures within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
Bronchitis,"SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Skilled Nurse to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to teach disease process of BRONCHITIS, to include pathophysiology, S/Sx, treatment and exacerbation.  SN to assess knowledge of medication regimen and deficits and teach pt/cg respiratory medications, to include safety measures, purpose, action and S/E and instruct on new or changed medications. SN to teach energy conservation and home safety measures. SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Bronchitis Goals,"Pt will achieve a stable respiratory status as evidenced by clear lung sounds, decreased or absence of SOB, and  decrease in respiratory effort within 60 days.
Rales, rhonci and wheezing will clear in all affected lobes without further progression of respiratory distress.
Pt will have adequate working knowledge of disease process, patho, and exacerbation within 60 days.
Pt will be able to list 3 of 5 s/sx of BRONCHITIS, within 60 days.
Pt will be able to list 2 of 4  uses of medication within 60 days.
Pt’s will list 3 of 4 treatments of BRONCHITIS, within 60 days.
Pt will have adequate working knowledge of pharmacological & non-pharmacological management of BRONCHITIS, O2 use safety, energy conservation and home  safety measures within 60 days
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
CHF,"SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Skilled Nurse to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to teach disease process of CHF, to include pathophysiology, S/Sx, treatment and exacerbation. SN to assess knowledge of medication regimen and deficits and teach pt/cg CARDIAC medications, to Include safety measures, purpose, action and S/E. Sn to teach new or changed medications if any. SN to teach  2gm Na Diet, Low Fat Diet, and Low Cholesterol Diet. SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures.  Instruct pt/cg to weigh patient and report weight gain or loss of 5lbs in 7 days."
CHF Goals,"Pt will achieve optimal level of cardiovascular status within 60 days.
Pt will achieve a stable blood pressure as evidenced by vital signs within normal limits within 60 days.
Rales, rhonci and wheezing will clear in all affected lobes without further progression of respiratory distress.
Pt will achieve a stable respiratory status as evidenced by clear lung sounds, decreased or absence of SOB, and decrease in respiratory effort within 60 days.
Pt will be able be able to list 2 of 4 uses of cardiac medications within 60 days.
Pt will be able to list 2 of 4 S/E of cardiac meds within 60 days.
Pt will have adequate working knowledge of  pharmacological & non-pharmacological management of CHF, O2 use & safety, home safety measures, prescribed diet,  and energy conservation within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged.
"
COPD ,"SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Skilled Nurse to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to teach disease process of COPD, to include pathophysiology, S/Sx, treatment and exacerbation.  SN to assess knowledge of medication regimen and deficits and teach pt/cg respiratory medications, to include safety measures, purpose, action and S/E and instruct on new or changed medications. SN to teach energy conservation and home safety measures.  SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
COPD Goals,"Pt will achieve a stable respiratory status as evidenced by clear lung sounds, decreased or absence of SOB, and  decrease in respiratory effort within 60 days.
Rales, rhonci and wheezing will clear in all affected lobes without further progression of respiratory distress.
Pt will have adequate working knowledge of disease process, patho, and exacerbation within 60 days.
Pt will be able to list 3 of 5 s/sx of COPD, within 60 days.
Pt will be able to list 2 of 4  uses of medication within 60 days.
Pt’s will list 3 of 4 treatments of COPD, within 60 days.
Pt will have adequate working knowledge of  pharmacological & non-pharmacological management COPD, O2 use safety, energy conservation and home                  safety measures within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
CVA,"SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Skilled Nurse to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to teach disease process of CVA, to include pathophysiology, S/Sx, treatment and exacerbation.  SN to assess knowledge of medication regimen and deficits and teach pt/cg CARDIAC medications, to Include safety measures, purpose, action and S/E. Sn to teach new or changed medications if any.  SN to teach  2gm Na Diet, Low Fat Diet, and Low Cholesterol Diet.  SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures.  Instruct pt/cg to weigh patient and report weight gain or loss of 5lbs in 7 days."
CVA Goals,"Pt will achieve optimal level of cardiovascular status within 60 days.
Pt will achieve a stable blood pressure as evidenced by vital signs within normal limits within 60 days.
Pt will be able be able to list 2 of 4 uses of cardiac medications within 60 days.
Pt will be able to list 2 of 4 S/E of cardiac meds within 60 days.
Pt will have adequate working knowledge of  pharmacological & non-pharmacological management of CVA, O2 use & safety, home safety measures, prescribed diet,  and energy conservation within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged.
"
Dementia,"Assess nutritional / hydrational status.  SN to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96. SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to assess pain every visit.  SN to assess skin for skin breakdown and skin care.  SN to teach disease process of Dementia, to include pathophysiology, S/Sx, treatment and exacerbation. SN to assess knowledge of medication regimen and deficits and teach pt/cg use medications for disease process to include, purpose, action S/E and safety measures.  SN to instruct on areas where knowledge deficit noted. SN to teach Dementia disease management. SN to teach energy conservation and home safety measures. SN to assess pain every visit, instruct on pharmacological and non-pharmacological pain management. Report pain level >5 to MD.  Instruct on energy conservation, incontinent care and home safety measures."
Dementia Goals,"Neurological symptoms will subside without further complications and status will return to WNL for this patient within 60days.
Pt will remain functionally independent within limitations of pain for 60 days.
Pt V/S and weight will be within normal limits as established by MD within 60 days.
Pt/Cg will have adequate working knowledge of disease process, patho, S/Sx, TX, and exacerbation within 60 days.
Pt/Cg will have adequate working knowledge of Dementia management, home safety measures and energy conservation within 60 days.
Pt/Cg will be able to list 2 of 4  uses of medication within 60 days.
Pt/Cg will be able to list 1of 3 S/E of medication within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
DM (with insulin),"Patient with memory deficit, very forgetful, L or R side paralysis due to CVA, Poor hand coordination, Lives Alone, Unable to perform FSBS and prep/admin own insulin safely, No able/willing cg to assume pt’s care safely. Using aseptic technique, SN to perform FS blood sugar every visit using patient’s glucometer to assess for S/Sx of hypo/ hyperglycemia or accuracy of reported BS.  SN to report FBS>250 or <60 and RBS>300 or <70 mg/dl to MD. Using aseptic technique, SN to prep/administer,   ___________________________     _____Units QAM SQ and __________________________        _____Units QPM.  Dispose of sharps per OSHA guidelines. SN to prep/admin ___________________ per sliding scale. Sn to assess all body systems. V/S parameter to report to MD, BP>160/90, HR>100 or <60, Resp>24 or <12, Temp>100.5 or <96. SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Assess skin for skin breakdown and diet.  SN to assess pain every visit, instruct on pharmacological and non-pharmacological pain management, report pain level >5 to MD.  Instruct on energy conservation, incontinent care and home safety measures."
