01.22,Removal brain stim lead,Removal of intracranial neurostimulator lead(s)
01.23,Reopen craniotomy site,Reopening of craniotomy site
01.24,Other craniotomy,Other craniotomy
01.25,Other craniectomy,Other craniectomy
01.26,Ins cath cranial cav/tis,Insertion of catheter(s) into cranial cavity or tissue
01.27,Rem cath cranial cav/tis,Removal of catheter(s) from cranial cavity or tissue
01.28,Intracereb cth-burr hole,Placement of intracerebral catheter(s) via burr hole(s)
01.29,Rem brain pulse generatr,Removal of cranial neurostimulator pulse generator
01.31,Incise cerebral meninges,Incision of cerebral meninges
01.32,Lobotomy & tractotomy,Lobotomy and tractotomy
01.39,Other brain incision,Other incision of brain
01.41,Thalamus operations,Operations on thalamus
01.42,Globus pallidus ops,Operations on globus pallidus
01.51,Ex cereb meningeal les,Excision of lesion or tissue of cerebral meninges
01.52,Hemispherectomy,Hemispherectomy
01.53,Brain lobectomy,Lobectomy of brain
01.59,Other brain excision,Other excision or destruction of lesion or tissue of brain
01.6,Excise skull lesion,Excision of lesion of skull
02.01,Linear craniectomy,Opening of cranial suture
02.02,Elevate skull fx fragmnt,Elevation of skull fracture fragments
02.03,Skull flap formation,Formation of cranial bone flap
02.04,Bone graft to skull,Bone graft to skull
02.05,Skull plate insertion,Insertion of skull plate
02.06,Cranial osteoplasty NEC,Other cranial osteoplasty
02.07,Skull plate removal,Removal of skull plate
02.11,Simple suture of dura,Simple suture of dura mater of brain
02.12,Brain meninge repair NEC,Other repair of cerebral meninges
02.13,Meninge vessel ligation,Ligation of meningeal vessel
02.14,Choroid plexectomy,Choroid plexectomy
02.21,Insert/replace EVD,Insertion or replacement of external ventricular drain [EVD]
02.22,Intrcran vent shunt/anas,Intracranial ventricular shunt or anastomosis
02.31,Ventricl shunt-head/neck,Ventricular shunt to structure in head and neck
02.32,Ventri shunt-circula sys,Ventricular shunt to circulatory system
02.33,Ventricl shunt-thorax,Ventricular shunt to thoracic cavity
02.34,Ventricl shunt-abdomen,Ventricular shunt to abdominal cavity and organs
02.35,Ventri shunt-uninary sys,Ventricular shunt to urinary system
02.39,Vent shunt extracran NEC,Ventricular shunt to extracranial site NEC
02.41,Irrigate/expl vent shunt,Irrigation and exploration of ventricular shunt
02.42,Replace ventricle shunt,Replacement of ventricular shunt
02.43,Remove ventricle shunt,Removal of ventricular shunt
02.91,Lysis cortical adhesion,Lysis of cortical adhesions
02.92,Brain repair,Repair of brain
02.93,Imp/repl brain stim lead,Implantation or replacement of intracranial neurostimulator lead(s)
02.94,Insert/replac skull tong,Insertion or replacement of skull tongs or halo traction device
02.95,Remove skull tongs,Removal of skull tongs or halo traction device
02.96,Insert sphenoid electrod,Insertion of sphenoidal electrodes
02.99,Skull & brain op NEC,"Other operations on skull, brain, and cerebral meninges"
03.01,Removal FB spinal canal,Removal of foreign body from spinal canal
03.02,Reopen laminectomy site,Reopening of laminectomy site
48.1,Proctostomy,Proctostomy
03.09,Spinal canal explor NEC,Other exploration and decompression of spinal canal
03.1,Intraspin nerve root div,Division of intraspinal nerve root
03.21,Percutaneous chordotomy,Percutaneous chordotomy
03.29,Other chordotomy,Other chordotomy
03.31,Spinal tap,Spinal tap
03.32,Spinal cord/meninges bx,Biopsy of spinal cord or spinal meninges
03.39,Other spinal dx proc,Other diagnostic procedures on spinal cord and spinal canal structures
03.4,Excis spinal cord lesion,Excision or destruction of lesion of spinal cord or spinal meninges
03.51,Spine meningocele repair,Repair of spinal meningocele
03.52,Myelomeningocel repair,Repair of spinal myelomeningocele
03.53,Vertebral fx repair,Repair of vertebral fracture
03.59,Spinal struct repair NEC,Other repair and plastic operations on spinal cord structures
03.6,Spinal cord adhesiolysis,Lysis of adhesions of spinal cord and nerve roots
03.71,Subarach-periton shunt,Spinal subarachnoid-peritoneal shunt
03.72,Subarach-ureteral shunt,Spinal subarachnoid-ureteral shunt
03.79,Oth spinal thecal shunt,Other shunt of spinal theca
03.8,Destr inject-spine canal,Injection of destructive agent into spinal canal
03.90,Insert spinal canal cath,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
03.91,Anesth inject-spin canal,Injection of anesthetic into spinal canal for analgesia
03.92,Spinal canal inject NEC,Injection of other agent into spinal canal
03.93,Imp/repl spine stim lead,Implantation or replacement of spinal neurostimulator lead(s)
03.94,Removal spine stim lead,Removal of spinal neurostimulator lead(s)
03.95,Spinal patch,Spinal blood patch
03.96,Percutan facet denervat,Percutaneous denervation of facet
03.97,Revise spine theca shunt,Revision of spinal thecal shunt
03.98,Remove spine theca shunt,Removal of spinal thecal shunt
03.99,Spine canal struc op NEC,Other operations on spinal cord and spinal canal structures
04.01,Excision acoustc neuroma,Excision of acoustic neuroma
04.02,Trigeminal nerv division,Division of trigeminal nerve
04.03,Periph nerve div NEC,Division or crushing of other cranial and peripheral nerves
04.04,Periph nerve incis NEC,Other incision of cranial and peripheral nerves
04.05,Gasserian ganglionectomy,Gasserian ganglionectomy
04.06,Periph ganglionect NEC,Other cranial or peripheral ganglionectomy
04.07,Periph nerv excision NEC,Other excision or avulsion of cranial and peripheral nerves
04.11,Clos periph nerve biopsy,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion
04.12,Open periph nerve biopsy,Open biopsy of cranial or peripheral nerve or ganglion
04.19,Periph nerve dx proc NEC,Other diagnostic procedures on cranial and peripheral nerves and ganglia
04.2,Periph nerve destruction,Destruction of cranial and peripheral nerves
04.3,Peripheral nerve suture,Suture of cranial and peripheral nerves
04.41,Decompress trigem root,Decompression of trigeminal nerve root
04.42,Cran nerv root decom NEC,Other cranial nerve decompression
04.43,Carpal tunnel release,Release of carpal tunnel
04.44,Tarsal tunnel release,Release of tarsal tunnel
04.49,Per nerve adhesiolys NEC,Other peripheral nerve or ganglion decompression or lysis of adhesions
04.5,Peripheral nerve graft,Cranial or peripheral nerve graft
04.6,Periph nerve transposit,Transposition of cranial and peripheral nerves
04.71,Hypogloss-facial anastom,Hypoglossal-facial anastomosis
04.72,Accessory-facial anastom,Accessory-facial anastomosis
04.73,Access-hypogloss anastom,Accessory-hypoglossal anastomosis
04.74,Periph nerv anastom NEC,Other anastomosis of cranial or peripheral nerve
04.75,Postop revis per nerv op,Revision of previous repair of cranial and peripheral nerves
04.76,Late repair per nerv inj,Repair of old traumatic injury of cranial and peripheral nerves
04.79,Other neuroplasty,Other neuroplasty
04.80,Periph nerve inject NOS,"Peripheral nerve injection, not otherwise specified"
04.81,Anesth injec periph nerv,Injection of anesthetic into peripheral nerve for analgesia
04.89,Periph nerve inject NEC,"Injection of other agent, except neurolytic"
04.91,Neurectasis,Neurectasis
04.92,Imp/repl peri stim lead,Implantation or replacement of peripheral neurostimulator lead(s)
04.93,Removal peri stim lead,Removal of peripheral neurostimulator lead(s)
04.99,Peripheral nerve ops NEC,Other operations on cranial and peripheral nerves
05.0,Sympath nerve division,Division of sympathetic nerve or ganglion
05.11,Sympathetic nerve biopsy,Biopsy of sympathetic nerve or ganglion
05.19,Sympath nrv dx proc NEC,Other diagnostic procedures on sympathetic nerves or ganglia
05.21,Sphenopalatin ganglionec,Sphenopalatine ganglionectomy
05.22,Cervical sympathectomy,Cervical sympathectomy
05.23,Lumbar sympathectomy,Lumbar sympathectomy
05.24,Presacral sympathectomy,Presacral sympathectomy
05.25,Periart sympathectomy,Periarterial sympathectomy
05.29,Other sympathectomy,Other sympathectomy and ganglionectomy
05.31,Anesth inject symp nerve,Injection of anesthetic into sympathetic nerve for analgesia
05.32,Neurolyt injec-symp nrv,Injection of neurolytic agent into sympathetic nerve
05.39,Sympath nerve inject NEC,Other injection into sympathetic nerve or ganglion
05.81,Sympathetic nerve repair,Repair of sympathetic nerve or ganglion
05.89,Sympathetic nerve op NEC,Other operations on sympathetic nerves or ganglia
05.9,Other nervous system ops,Other operations on nervous system
06.01,Thyroid field aspiration,Aspiration of thyroid field
15.12,1 extraoc muscl advance,Advancement of one extraocular muscle
06.02,Reopen thyroid field wnd,Reopening of wound of thyroid field
06.09,Incis thyroid field NEC,Other incision of thyroid field
06.11,Closed thyroid gland bx,Closed [percutaneous] [needle] biopsy of thyroid gland
06.12,Open thyroid gland bx,Open biopsy of thyroid gland
06.13,Parathyroid biopsy,Biopsy of parathyroid gland
06.19,Thyr/parathy dx proc NEC,Other diagnostic procedures on thyroid and parathyroid glands
06.2,Unilat thyroid lobectomy,Unilateral thyroid lobectomy
06.31,Excision thyroid lesion,Excision of lesion of thyroid
06.39,Part thyroidectomy NEC,Other partial thyroidectomy
06.4,Complete thyroidectomy,Complete thyroidectomy
06.50,Substern thyroidect NOS,"Substernal thyroidectomy, not otherwise specified"
06.51,Part substern thyroidect,Partial substernal thyroidectomy
06.52,Tot substern thyroidect,Complete substernal thyroidectomy
06.6,Lingual thyroid excision,Excision of lingual thyroid
06.7,Thyrogloss duct excision,Excision of thyroglossal duct or tract
06.81,Total parathyroidectomy,Complete parathyroidectomy
06.89,Other parathyroidectomy,Other parathyroidectomy
06.91,Thyroid isthmus division,Division of thyroid isthmus
06.92,Thyroid vessel ligation,Ligation of thyroid vessels
06.93,Thyroid suture,Suture of thyroid gland
06.94,Thyroid reimplantation,Thyroid tissue reimplantation
06.95,Parathyroid reimplant,Parathyroid tissue reimplantation
06.98,Other thyroid operations,Other operations on thyroid glands
06.99,Other parathyroid ops,Other operations on parathyroid glands
07.00,Adrenal exploration NOS,"Exploration of adrenal field, not otherwise specified"
07.01,Unilat adrenal explorat,Unilateral exploration of adrenal field
07.02,Bilat adrenal explorat,Bilateral exploration of adrenal field
07.11,Closed adrenal gland bx,Closed [percutaneous] [needle] biopsy of adrenal gland
07.12,Open adrenal gland bx,Open biopsy of adrenal gland
07.13,Transfront pituitary bx,"Biopsy of pituitary gland, transfrontal approach"
07.14,Transphen pituitary bx,"Biopsy of pituitary gland, transsphenoidal approach"
07.15,Pituitary biopsy NOS,"Biopsy of pituitary gland, unspecified approach"
07.16,Thymus biopsy,Biopsy of thymus
07.17,Pineal biopsy,Biopsy of pineal gland
07.19,Endocrine dx proc NEC,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus"
07.21,Adrenal lesion excision,Excision of lesion of adrenal gland
07.22,Unilateral adrenalectomy,Unilateral adrenalectomy
83.5,Bursectomy,Bursectomy
07.29,Part adrenalectomy NEC,Other partial adrenalectomy
07.3,Bilateral adrenalectomy,Bilateral adrenalectomy
07.41,Adrenal incision,Incision of adrenal gland
07.42,Adrenal nerve division,Division of nerves to adrenal glands
07.43,Adrenal vessel ligation,Ligation of adrenal vessels
07.44,Adrenal repair,Repair of adrenal gland
07.45,Adrenal reimplantation,Reimplantation of adrenal tissue
07.49,Adrenal operation NEC,"Other operations on adrenal glands, nerves, and vessels"
07.51,Pineal field exploration,Exploration of pineal field
07.52,Pineal gland incision,Incision of pineal gland
07.53,Partial pinealectomy,Partial excision of pineal gland
07.54,Total pinealectomy,Total excision of pineal gland
07.59,Pineal operation NEC,Other operations on pineal gland
07.61,Exc pituit les-transfron,"Partial excision of pituitary gland, transfrontal approach"
07.62,Exc pituit les-transphen,"Partial excision of pituitary gland, transsphenoidal approach"
07.63,Part excis pituitary NOS,"Partial excision of pituitary gland, unspecified approach"
07.64,Tot exc pituit-transfron,"Total excision of pituitary gland, transfrontal approach"
07.65,Tot exc pituit-transphen,"Total excision of pituitary gland, transsphenoidal approach"
07.68,Total exc pituitary NEC,"Total excision of pituitary gland, other specified approach"
07.69,Total exc pituitary NOS,"Total excision of pituitary gland, unspecified approach"
07.71,Pituitary fossa explorat,Exploration of pituitary fossa
07.72,Pituitary gland incision,Incision of pituitary gland
07.79,Pituitary operation NEC,Other operations on hypophysis
07.80,Thymectomy NOS,"Thymectomy, not otherwise specified"
07.81,Oth part excision thymus,Other partial excision of thymus
07.82,Oth totl excision thymus,Other total excision of thymus
07.83,Thorac part exisn thymus,Thoracoscopic partial excision of thymus
07.84,Thorac total exc thymus,Thoracoscopic total excision of thymus
07.91,Thymus field exploration,Exploration of thymus field
07.92,Other incision of thymus,Other incision of thymus
07.93,Repair of thymus,Repair of thymus
07.94,Thymus transplantation,Transplantation of thymus
07.95,Thorac incision thymus,Thoracoscopic incision of thymus
07.98,Oth thorac op thymus NOS,Other and unspecified thoracoscopic operations on thymus
07.99,Other thymus ops NOS,Other and unspecified operations on thymus
08.01,Incision of lid margin,Incision of lid margin
08.02,Blepharorrhaphy severing,Severing of blepharorrhaphy
08.09,Other eyelid incision,Other incision of eyelid
15.13,1 extraoc muscl resect,Resection of one extraocular muscle
08.11,Eyelid biopsy,Biopsy of eyelid
08.19,Eyelid dx procedure NEC,Other diagnostic procedures on eyelid
08.20,Remove eyelid lesion NOS,"Removal of lesion of eyelid, not otherwise specified"
08.21,Chalazion excision,Excision of chalazion
08.22,Excise minor les lid NEC,Excision of other minor lesion of eyelid
08.23,Exc maj les lid prt-thic,"Excision of major lesion of eyelid, partial-thickness"
08.24,Exc maj les lid ful-thic,"Excision of major lesion of eyelid, full-thickness"
08.25,Destruction lid lesion,Destruction of lesion of eyelid
08.31,Ptosis rep-front mus sut,Repair of blepharoptosis by frontalis muscle technique with suture
08.32,Ptosis rep-fron mus slng,Repair of blepharoptosis by frontalis muscle technique with fascial sling
08.33,Ptosis rep-levat mus adv,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis
08.34,Ptosis rep-levat mus NEC,Repair of blepharoptosis by other levator muscle techniques
08.35,Ptos rep-tarsal techniq,Repair of blepharoptosis by tarsal technique
08.36,Blepharoptos repair NEC,Repair of blepharoptosis by other techniques
08.37,Reduc overcorrect ptosis,Reduction of overcorrection of ptosis
08.38,Correct lid retraction,Correction of lid retraction
08.41,Thermocaut/entropion rep,Repair of entropion or ectropion by thermocauterization
08.42,Suture entropion repair,Repair of entropion or ectropion by suture technique
08.43,Wedg resec entropion rep,Repair of entropion or ectropion with wedge resection
08.44,Lid recons entropion rep,Repair of entropion or ectropion with lid reconstruction
08.49,Entropion/ectrop rep NEC,Other repair of entropion or ectropion
08.51,Canthotomy,Canthotomy
08.52,Blepharorrhaphy,Blepharorrhaphy
08.59,Adjust lid position NEC,Other adjustment of lid position
08.61,Lid reconst w skin graft,Reconstruction of eyelid with skin flap or graft
08.62,Lid reconst w muc graft,Reconstruction of eyelid with mucous membrane flap or graft
08.63,Lid reconst w hair graft,Reconstruction of eyelid with hair follicle graft
08.64,Lid recon-tarsoconj flap,Reconstruction of eyelid with tarsoconjunctival flap
08.69,Lid reconstr w graft NEC,Other reconstruction of eyelid with flaps or grafts
08.70,Lid reconstruction NOS,"Reconstruction of eyelid, not otherwise specified"
08.71,Lid marg recon-part thic,"Reconstruction of eyelid involving lid margin, partial-thickness"
08.72,Lid recons-part thic NEC,"Other reconstruction of eyelid, partial-thickness"
08.73,Lid marg recons ful thic,"Reconstruction of eyelid involving lid margin, full-thickness"
08.74,Lid reconst-ful thic NEC,"Other reconstruction of eyelid, full-thickness"
08.81,Linear rep lid lacer,Linear repair of laceration of eyelid or eyebrow
08.82,Lid marg lac rx-part th,"Repair of laceration involving lid margin, partial-thickness"
08.83,Lid lacer rx-prt th NEC,"Other repair of laceration of eyelid, partial-thickness"
08.84,Lid marg lac rx-ful thic,"Repair of laceration involving lid margin, full-thickness"
08.85,Lid lac rx-ful thic NEC,"Other repair of laceration of eyelid, full-thickness"
08.86,Lower lid rhytidectomy,Lower eyelid rhytidectomy
08.87,Upper lid rhytidectomy,Upper eyelid rhytidectomy
08.89,Eyelid repair NEC,Other eyelid repair
08.91,Electrosurg lid epilat,Electrosurgical epilation of eyelid
08.92,Cryosurg lid epilation,Cryosurgical epilation of eyelid
08.93,Eyelid epilation NEC,Other epilation of eyelid
08.99,Eyelid operation NEC,Other operations on eyelids
09.0,Lacrimal gland incision,Incision of lacrimal gland
09.11,Lacrimal gland biopsy,Biopsy of lacrimal gland
09.12,Lacrimal sac biopsy,Biopsy of lacrimal sac
09.19,Lacrimal sys dx proc NEC,Other diagnostic procedures on lacrimal system
09.20,Exc lacrimal gland NOS,"Excision of lacrimal gland, not otherwise specified"
09.21,Excis les lacrimal gland,Excision of lesion of lacrimal gland
09.22,Part dacryoadenect NEC,Other partial dacryoadenectomy
09.23,Total dacryoadenectomy,Total dacryoadenectomy
09.3,Other lacrimal gland ops,Other operations on lacrimal gland
09.41,Lacrimal punctum probe,Probing of lacrimal punctum
09.42,Lac canaliculi probe,Probing of lacrimal canaliculi
09.43,Nasolacrimal duct probe,Probing of nasolacrimal duct
09.44,Nasolac duct intubat,Intubation of nasolacrimal duct
09.49,Lac passage manip NEC,Other manipulation of lacrimal passage
09.51,Lac punctum incision,Incision of lacrimal punctum
09.52,Lac canaliculi incision,Incision of lacrimal canaliculi
09.53,Lacrimal sac incision,Incision of lacrimal sac
09.59,Lacrim passage incis NEC,Other incision of lacrimal passages
09.6,Lacrim sac/passage excis,Excision of lacrimal sac and passage
09.71,Correct everted punctum,Correction of everted punctum
09.72,Punctum repair NEC,Other repair of punctum
09.73,Canaliculus repair,Repair of canaliculus
09.81,Dacryocystorhinostomy,Dacryocystorhinostomy [DCR]
09.82,Conjunctivocystorhinost,Conjunctivocystorhinostomy
09.83,Conjunctivorhinos w tube,Conjunctivorhinostomy with insertion of tube or stent
09.91,Lac punctum obliteration,Obliteration of lacrimal punctum
09.99,Lacrimal system op NEC,Other operations on lacrimal system
10.0,Incise/remov conjunct FB,Removal of embedded foreign body from conjunctiva by incision
10.1,Conjunctiva incision NEC,Other incision of conjunctiva
10.21,Conjunctival biopsy,Biopsy of conjunctiva
10.29,Conjunctiva dx proc NEC,Other diagnostic procedures on conjunctiva
10.31,Excise conjunctiv lesion,Excision of lesion or tissue of conjunctiva
10.32,Destruct conjunc les NEC,Destruction of lesion of conjunctiva
10.33,Oth conjunc destruc proc,Other destructive procedures on conjunctiva
10.41,Symbleph rep w free grft,Repair of symblepharon with free graft
10.42,Graft conjunc cul-de-sac,Reconstruction of conjunctival cul-de-sac with free graft
10.43,Conjun cul-de-sac rx NEC,Other reconstruction of conjunctival cul-de-sac
10.44,Conjunc free graft NEC,Other free graft to conjunctiva
10.49,Conjunctivoplasty NEC,Other conjunctivoplasty
10.5,Conjunc/lid adhesiolysis,Lysis of adhesions of conjunctiva and eyelid
10.6,Repair conjunct lacerat,Repair of laceration of conjunctiva
10.91,Subconjunctival inject,Subconjunctival injection
10.99,Conjunctival op NEC,Other operations on conjunctiva
11.0,Magnet removal cornea FB,Magnetic removal of embedded foreign body from cornea
11.1,Corneal incision,Incision of cornea
11.21,Corneal scrape for smear,Scraping of cornea for smear or culture
11.22,Corneal biopsy,Biopsy of cornea
11.29,Corneal dx proc NEC,Other diagnostic procedures on cornea
11.31,Pterygium transposition,Transposition of pterygium
11.32,Pteryg exc w cornea grft,Excision of pterygium with corneal graft
11.39,Pterygium excision NEC,Other excision of pterygium
11.41,Mech remov cornea epith,Mechanical removal of corneal epithelium
11.42,Thermocaut cornea lesion,Thermocauterization of corneal lesion
11.43,Cryotherap cornea lesion,Cryotherapy of corneal lesion
11.49,Destruct cornea les NEC,Other removal or destruction of corneal lesion
11.51,Suture cornea laceration,Suture of corneal laceration
11.52,Rep cornea postop dehisc,Repair of postoperative wound dehiscence of cornea
11.53,Rx cornea lac w conj flp,Repair of corneal laceration or wound with conjunctival flap
11.59,Corneal repair NEC,Other repair of cornea
11.60,Corneal transplant NOS,"Corneal transplant, not otherwise specified"
11.61,Lam keratplast w autgrft,Lamellar keratoplasty with autograft
11.62,Lamellar keratoplast NEC,Other lamellar keratoplasty
11.63,Perf keratopl w autogrft,Penetrating keratoplasty with autograft
11.64,Perforat keratoplast NEC,Other penetrating keratoplasty
11.69,Corneal transplant NEC,Other corneal transplant
11.71,Keratomileusis,Keratomileusis
11.72,Keratophakia,Keratophakia
11.73,Keratoprosthesis,Keratoprosthesis
11.74,Thermokeratoplasty,Thermokeratoplasty
11.75,Radial keratotomy,Radial keratotomy
11.76,Epikeratophakia,Epikeratophakia
11.79,Cornea reconstruct NEC,Other reconstructive and refractive surgery on cornea
11.91,Corneal tattooing,Tattooing of cornea
11.92,Remove corneal implant,Removal of artificial implant from cornea
11.99,Corneal operation NEC,Other operations on cornea
12.00,Remov ant segmnt FB NOS,"Removal of intraocular foreign body from anterior segment of eye, not otherwise specified"
12.01,Magnet remov ant seg FB,Removal of intraocular foreign body from anterior segment of eye with use of magnet
12.02,Nonmag remov ant seg FB,Removal of intraocular foreign body from anterior segment of eye without use of magnet
12.11,Iridotomy w transfixion,Iridotomy with transfixion
12.12,Iridotomy NEC,Other iridotomy
12.13,Prolapsed iris excision,Excision of prolapsed iris
12.14,Iridectomy NEC,Other iridectomy
12.21,Dx aspirat-ant chamber,Diagnostic aspiration of anterior chamber of eye
12.22,Iris biopsy,Biopsy of iris
12.29,Ant segment dx proc NEC,"Other diagnostic procedures on iris, ciliary body, sclera, and anterior chamber"
12.31,Goniosynechiae lysis,Lysis of goniosynechiae
12.32,Ant synechia lysis NEC,Lysis of other anterior synechiae
12.33,Post synechiae lysis,Lysis of posterior synechiae
12.34,Corneovitreal adhesiolys,Lysis of corneovitreal adhesions
12.35,Coreoplasty,Coreoplasty
12.39,Iridoplasty NEC,Other iridoplasty
12.40,Remov ant segmnt les NOS,"Removal of lesion of anterior segment of eye, not otherwise specified"
12.41,Nonexc destruc iris les,"Destruction of lesion of iris, nonexcisional"
12.42,Excision of iris lesion,Excision of lesion of iris
12.43,Nonexc destr cil bod les,"Destruction of lesion of ciliary body, nonexcisional"
12.44,Excise ciliary body les,Excision of lesion of ciliary body
12.51,Goniopuncture,Goniopuncture without goniotomy
12.52,Goniotomy,Goniotomy without goniopuncture
12.53,Goniotomy w goniopunctur,Goniotomy with goniopuncture
12.54,Trabeculotomy ab externo,Trabeculotomy ab externo
12.55,Cyclodialysis,Cyclodialysis
12.59,Facilit intraoc circ NEC,Other facilitation of intraocular circulation
12.61,Trephin sclera w iridect,Trephination of sclera with iridectomy
12.62,Thermcaut scler w iridec,Thermocauterization of sclera with iridectomy
12.63,Iridencleisis/iridotasis,Iridencleisis and iridotasis
12.64,Trabeculectom ab externo,Trabeculectomy ab externo
12.65,Scler fistuliz w iridect,Other scleral fistulization with iridectomy
12.66,Postop revis scl fistul,Postoperative revision of scleral fistulization procedure
12.67,Insert aqueous drain dev,Insertion of aqueous drainage device
12.69,Scler fistulizing op NEC,Other scleral fistulizing procedure
12.71,Cyclodiathermy,Cyclodiathermy
25.99,Tongue operation NEC,Other operations on tongue
12.72,Cyclocryotherapy,Cyclocryotherapy
12.73,Cyclophotocoagulation,Cyclophotocoagulation
12.74,Cil body diminution NOS,"Diminution of ciliary body, not otherwise specified"
12.79,Glaucoma procedure NEC,Other glaucoma procedures
12.81,Suture scleral lacer,Suture of laceration of sclera
12.82,Scleral fistula repair,Repair of scleral fistula
12.83,Revis ant seg op wnd NEC,"Revision of operative wound of anterior segment, not elsewhere classified"
12.84,Destruct scleral lesion,Excision or destruction of lesion of sclera
12.85,Repair staphylom w graft,Repair of scleral staphyloma with graft
12.86,Rep scler staphyloma NEC,Other repair of scleral staphyloma
12.87,Graft reinforce sclera,Scleral reinforcement with graft
12.89,Scleral operation NEC,Other operations on sclera
